HOST,EVENT,THISPLACE,TIME,DAYS,STARTTIMES,ENDTIMES,LOCATION,LAT,LONG,ABOUT
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_TWILIO.jpg,Digital Shoreditch Festival Open Office @ Twilio London,0,Friday 15th May / 12:30pm – 7:00pm,15,12:30,19:30,"Twilio, 5th Floor, 4 Crown Place, EC2A 4BT",51.520145,-0.0834687,"We’re excited to invite all the awesome people attending Digital Shoreditch to come and say hello to the Twilio team at our brand new office in Shoreditch. For developers, entrepreneurs, visionaries, makers, and everyone between, we have some exciting things in store, including BBQ, drinks, Twilio demos, and games! Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_DATAAI.jpg,dataAI Open House,0,Saturday 16th – Sunday 24th May / All day,"16,17,18,19,20,21,22,23,24",0:00,23:59,"Centre House, 1st floor, Block C, 56 Wood Lane, W12 7SB",51.5122704,-0.2236596,"dataAI is a new data science services startup that just launched on the London node of the ICT Labs @ Imperial! Come over, meet our company and the ICT Labs. We’re working in some amazing AI stuff: algorithms to do risk assessment of boats worldwide, predict demand for whole industries, insights into health & social data  that shape government decision, to name some."
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_HACKNEY.jpg,The Hackney Opportunity Hub,0,Saturday 16th – Sunday 24th May / 9:00am – 5:00pm,"16,17,18,19,20,21,22,23,24",9:00,17:00,"Corner of Pitfield Street and Bowling Green Walk, Hackney, N1 6EL",51.5280733,-0.0836124,"The Opportunity Hub is a new space located in the heart of Tech City. Home to the Council’s in-house job brokerage service, the Hub connects companies with local talent and supports people in Hackney to gain skills and experience to access jobs and other opportunities in the borough. To arrange an insight visit, please email: business@hackney.gov.uk"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_OPENGALLERY.jpg,Video Painting: Sensual Phrases,0,Saturday 16th – Sunday 24th May / 9:00am – 6:00pm,"16,17,18,19,20,21,22,23,24",9:00,18:00,"The Canvas, 42 Hanbury Street, E1 5JL",51.520158,-0.071223,"The Canvas cafe and creative venue, will host Open Gallery’s installation ‘Video Painting: Sensual Phases’, featuring work by Sidsel Christensen and Gabrielle Le Bayon. These vibrant projections have been specially curated to compliment the venue’s mission to promote positive notions of body image and the importance of self expression."
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_ZIGFRID.jpg,Petar Savic & Hoxton FM,0,Saturday 16th May / 9:00pm – 3:00am,16,9:00,15:00,"Zigfrid von Underbelly, 11 Hoxton Square, N1 6NU",51.527816,-0.081636,"Glitch hop / neo soul / funk DJs with visuals and live vocals, free entry."
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_GREENPEACE.jpg,Greenhack,0,Saturday 16th May / 10:00am,16,10:00,,"Greenpeace UK, Canonbury Villas, London, N1 2PN",51.5404668,-0.0981619,"Greenhack is a two day hackathon with difference. You’ll be helping Greenpeace defend the Arctic. Using only code and creativity we’ll take on a giant oil company, and win. We’re looking for a diverse group of talented, passionate and fun people to build stuff that can change the world.
			Come hack with us for a cooler future. Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_DESIGNMUSEUM.jpg,Designs of the Year 2015,0,Saturday 16th – Sunday 24th May / 10:00am – 5:45pm daily,"16,17,18,19,20,21,22,23,24",10:00,17:45,"Design Museum, Shad Thames, SE1 2YD",51.5026113,-0.0720087,"Now in its eighth year, Designs of the Year celebrates design that promotes or delivers change, enables access, extends design practice or captures the spirit of the year.
			“Find out what the world’s geniuses have been up to for the last 12 months.” Time Out"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_FURTHERFIELD.jpg,Beyond the Interface – London Exhibition,0,"Saturday 16th – Sunday 17th, Friday 22nd – Sunday 24th May / 11:00am – 5:00pm","16,17,22,23,24",11:00,17:00,"Furtherfield Gallery, McKenzie Pavilion, Finsbury Park, N4 2NQ",51.5705742,-0.0966734,"Beyond the Interface – London is an exhibition and series of events presented by Furtherfield, where leading contemporary artists explore the technical interfaces that pervade our lives.
			The interface is the boundary across which information is exchanged, causing a transformation in one or both sides of that boundary. Between individuals, corporations and states; beliefs and disciplines; components of computer systems; or machines and living beings. Seduced and habituated, we forget to question how we are dominated and reprogrammed by the very facilities that are supposed to free us as part of the Digital Revolution."
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_UKPODCASTERS.jpg,Digital Shoreditch Podcasting Meetup,0,Saturday 16th May / 12:00pm – 3:00pm,16,12:00,15:00,"The Water Poet, 9-11 Folgate Street, E1 6BX",51.5209801,-0.0773507,"As part of the Digital Shoreditch Open House Programme we’ll be hosting a meetup at The Water Poet in London’s trendy Spitalfields. We’re excited to open the UK Podcasters community up to all the awesome tech peeps attending Digital Shoreditch and have some exciting power sessions that will excite podcasters, bloggers, social media marketers and creatives alike! Click here to RSVP"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_MACHINESROOM.jpg,Open Access Day with Connective Craft Workshop,0,Saturday 16th May / 12:00pm – 4:00pm,16,12:00,16:00,"Machines Room, 45 Vyner Street, E2 9DQ",51.5348118,-0.0537149,"Saturday is our community day when you can try out making, learn the basics on a machine or take part in a workshop.
			– 12pm Induction
			– 1pm Laser cutter training
			– 2-4pm Connective Craft workshop with artist, Jennie Fagerstrom
			Usually £5 but free for DS pass holders. Includes one day of open source making, machine access, co-working/making. Please see t&cs at machinesroom.org To RSVP please email: contact@limewharf.org"
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_BOOKCLUB.jpg,ART MACABRE: ARABIAN NIGHTS,0,Saturday 16th May / 2:00pm – 4:00pm,16,2:00,16:00,"The Book Club, 100 – 106, Leonard Street, EC2A 4RH",51.5245317,-0.0817132,"Try a life drawing workshop injected with a lethal dose of theatricality and fun. Art Macabre presents nude models, sumptuous costume and props to sketch, as through tableaux  and music they tell tales from 1001 Nights. Drawing materials and paper provided. Price: £8 -£10 in advance, £15 on the door (if not sold out online). Click here to buy tickets."
http://tickets.digitalshoreditch.com/wp-content/uploads/sites/3/2015/04/DS15_BEDROOMBAR.jpg,Saturday Night Comedy Show,0,Saturday 16th May / 8:00pm,16,20:00,,"Bedroom Bar, 62-68 Rivington Street, EC2A 3AY",51.5261933,-0.0788466,"8pm, £10 ADV, £12 OTD, £20 Dinner & Comedy featuring: MC Jimmy James Jones, Paul Pirie, Tobias Person. Click here to buy tickets"
